cyc,freq,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
0,3,0.01,100,0,4.01882e-07,5.45327e-07,7.52905e-30,11.3628,0.736957,950.317,2545.79,2478.35,4.48567,19.0277,18.2798,-0.986064,-5.47126e-30,2.37113e-13,0.416411,0.396152,20231,31890.5,2.10331,23.8994,1.86139,21.1506,2.25453,0.0066,1.30091,3.7,4.43357,1.7351e-29,26.1859,1.63662,2.30453 
1,3,0.01,100,1,3.79506e-07,5.9119e-07,8.16227e-30,12.3184,0.641935,950.317,2545.79,2478.35,4.47958,19.0297,18.2817,-0.609402,-3.19305e-30,-4.59527e-14,0.63005,0.590319,25776.8,38314.7,1.80437,22.2269,1.62805,20.0551,1.85866,0.0066,1.33651,3.7,4.06155,1.63287e-29,24.6431,1.5402,2.00051 
2,3,100,0.01,2,4.12879e-07,5.70542e-07,7.87719e-30,11.8882,0.723661,950.317,2545.79,2478.35,4.49704,19.0239,18.2762,-0.935922,-5.33515e-30,4.72872e-13,0.439787,0.417617,23169.2,36959.5,2.06154,24.508,1.82765,21.7275,2.20204,0.0066,1.29975,3.7,5.12944,1.90405e-29,28.7357,1.79598,2.41717 
3,3,0.01,100,3,3.86118e-07,5.44387e-07,7.51608e-30,11.3432,0.709271,950.317,2545.79,2478.35,4.48326,19.0285,18.2806,-0.880765,-4.6953e-30,4.4655e-13,0.467103,0.442616,20126.6,31890.1,2.01627,22.8709,1.79153,20.3216,2.1442,0.0066,1.32159,3.7,4.28631,1.69561e-29,25.59,1.59938,2.25598 
4,3,100,0.01,4,4.25551e-07,5.66544e-07,7.822e-30,11.8049,0.751134,950.317,2545.79,2478.35,4.49345,19.0251,18.2774,-1.03873,-6.10294e-30,6.0363e-13,0.393275,0.374837,22685.5,37494,2.14776,25.354,1.89776,22.4028,2.30956,0.0066,1.27419,3.7,4.90963,1.85373e-29,27.9763,1.74852,2.3699 
5,3,100,0.01,5,4.04569e-07,5.56592e-07,7.68459e-30,11.5975,0.726869,950.317,2545.79,2478.35,4.48885,19.0266,18.2788,-0.948092,-5.29575e-30,2.32498e-13,0.433991,0.412293,21510.9,33150.7,2.07158,24.0252,1.83576,21.2902,2.21476,0.0066,1.3075,3.7,4.62749,1.78507e-29,26.9401,1.68376,2.32292 
6,3,0.01,100,6,3.79248e-07,5.73121e-07,7.91279e-30,11.9419,0.661724,950.317,2545.79,2478.35,4.48271,19.0287,18.2808,-0.691554,-3.62104e-30,5.31472e-13,0.575199,0.540849,23484.7,36577.7,1.86662,22.291,1.67513,20.0043,1.94526,0.0066,1.34083,3.7,4.25214,1.68626e-29,25.4489,1.59056,2.13106 
7,3,100,0.01,7,4.07565e-07,5.57069e-07,7.69118e-30,11.6075,0.731624,950.317,2545.79,2478.35,4.48534,19.0278,18.2799,-0.966047,-5.436e-30,3.83769e-13,0.425583,0.404579,21566.2,34571.5,2.08655,24.2195,1.84782,21.4485,2.23358,0.0066,1.27819,3.7,4.413,1.72966e-29,26.1039,1.63149,2.24889 
8,3,100,0.01,8,3.89243e-07,5.69272e-07,7.85965e-30,11.8617,0.683757,950.317,2545.79,2478.35,4.49012,19.0262,18.2784,-0.780606,-4.19505e-30,5.01033e-13,0.521367,0.492064,23014.7,36233.7,1.93598,22.964,1.7285,20.5029,2.039,0.0066,1.32156,3.7,4.70556,1.80454e-29,27.234,1.70212,2.29596 
9,3,100,0.01,9,4.18175e-07,5.90436e-07,8.15186e-30,12.3027,0.708248,950.317,2545.79,2478.35,4.49284,19.0253,18.2776,-0.876809,-5.06229e-30,5.60211e-14,0.46913,0.444468,25678.2,39337.2,2.01305,24.7659,1.78897,22.0092,2.14005,0.0066,1.276,3.7,4.87199,1.84484e-29,27.8422,1.74014,2.26309 
10,3,100,0.01,10,4.30648e-07,5.40458e-07,7.46184e-30,11.2613,0.796821,950.317,2545.79,2478.35,4.49635,19.0241,18.2765,-1.20277,-7.15139e-30,3.42653e-13,0.329433,0.315722,19693.9,32022.9,2.29097,25.7994,2.01759,22.7207,2.48061,0.0066,1.26616,3.7,5.08708,1.89456e-29,28.5925,1.78703,2.539 
11,3,0.01,100,11,3.94489e-07,5.55884e-07,7.67481e-30,11.5828,0.709661,950.317,2545.79,2478.35,4.48464,19.028,18.2801,-0.882267,-4.80528e-30,3.72982e-13,0.466333,0.441914,21428.8,33964.3,2.0175,23.3682,1.7925,20.7621,2.14578,0.0066,1.29926,3.7,4.37029,1.71829e-29,25.9323,1.62077,2.23887 
12,3,100,0.01,12,4.08943e-07,5.42889e-07,7.4954e-30,11.312,0.753271,950.317,2545.79,2478.35,4.49098,19.0259,18.2781,-1.04657,-5.909e-30,2.27767e-13,0.389937,0.371768,19960.9,31266.5,2.15452,24.3719,1.90327,21.5298,2.31777,0.0066,1.27415,3.7,4.75833,1.8175e-29,27.4295,1.71434,2.42482 
13,3,0.01,100,13,3.76997e-07,5.29916e-07,7.31629e-30,11.0417,0.711426,950.317,2545.79,2478.35,4.4828,19.0287,18.2807,-0.889083,-4.62768e-30,3.43048e-13,0.46287,0.438749,18563.9,29369.6,2.02306,22.338,1.79691,19.8409,2.15293,0.0066,1.27108,3.7,4.25786,1.68783e-29,25.4726,1.59204,2.30695 
14,3,0.01,100,14,3.81938e-07,5.41877e-07,7.48143e-30,11.2909,0.704843,950.317,2545.79,2478.35,4.48798,19.0269,18.2791,-0.863597,-4.55395e-30,2.77531e-13,0.475961,0.450709,19849.5,30341.8,2.00234,22.6082,1.78049,20.1034,2.12619,0.0066,1.29111,3.7,4.57429,1.77159e-29,26.7366,1.67104,2.36798 
15,3,100,0.01,15,4.13733e-07,5.51466e-07,7.61382e-30,11.4907,0.750242,950.317,2545.79,2478.35,4.49041,19.0261,18.2783,-1.03546,-5.91474e-30,5.18548e-13,0.394679,0.376128,20922,34117.8,2.14493,24.6468,1.89546,21.7801,2.30612,0.0066,1.26808,3.7,4.72353,1.80897e-29,27.3009,1.7063,2.37591 
16,3,0.01,100,16,3.78255e-07,5.24251e-07,7.23808e-30,10.9236,0.721515,950.317,2545.79,2478.35,4.47835,19.0302,18.2821,-0.927754,-4.84508e-30,1.96614e-13,0.443724,0.421221,17974.9,27742.4,2.05477,22.4456,1.82224,19.9055,2.19347,0.0066,1.30867,3.7,3.98664,1.61132e-29,24.318,1.51987,2.22618 
17,3,100,0.01,17,4.25086e-07,5.36967e-07,7.41363e-30,11.1886,0.791643,950.317,2545.79,2478.35,4.49181,19.0256,18.2779,-1.18459,-6.95228e-30,7.76208e-14,0.335939,0.321771,19314.7,30374.2,2.27476,25.4514,2.0038,22.4197,2.46169,0.0066,1.24521,3.7,4.80915,1.82982e-29,27.6154,1.72596,2.46818 
18,3,0.01,100,18,3.79546e-07,5.53544e-07,7.6425e-30,11.534,0.685667,950.317,2545.79,2478.35,4.48231,19.0288,18.2809,-0.788213,-4.1304e-30,5.84946e-13,0.517023,0.488115,21159.3,33937.7,1.94199,22.3989,1.73317,19.9904,2.047,0.0066,1.3088,3.7,4.22807,1.67964e-29,25.3489,1.58431,2.19776 
