cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.04,0.83,43.1747,0,33225,-0.221224,56.886,13.1277,122.034,-0.0376874,58.7865,486.384,-4.81334,0.0424116,-3.80238,-0.156601,-3.6505,-276.931,16743.9,173.316,16831.2,24382.4,-3.06958,1.78617,-0.314852,1.58716,-1.90674,0.83583,16964.5,193.369,17051.7,0.491328,0.980443,0.0204623,34527.8,-0.00109731,1.38817,13.3874,11.3019,122.518,82.3535,1.33999,13.0936,12.1043,121.308,130.481,1.20904,-48.1276 
1,0.04,0.83,43.2147,1,30703.2,-0.0806207,53.6596,12.7896,122.378,0.0842411,9.28725,3.94754e-06,-0.363217,-2.68703,-8.26394,-1.49884,-2.3442,-273.117,15749.7,153.109,15509.2,22366.3,1.35653,-0.96728,-4.82445,0.220908,-0.624458,0.00295575,15967.3,172.886,15726.7,0.496405,0.981404,0.0198485,32165.8,-0.00118735,1.34501,13.1698,11.1496,122.894,82.0058,1.27967,12.7836,11.9358,121.739,130.084,1.15489,-48.0784 
2,0.04,0.83,43.2647,2,36022.5,-0.172951,61.7861,12.9727,122.21,0.00461596,-84.5052,0.00255431,1.12758,3.60633,0.880658,-2.2263,2.73949,-129.3,18704.1,145.958,17432.4,26105.2,1.94174,4.42049,2.50899,-1.41213,3.55365,0.772174,18807,155.321,17535.4,0.510112,0.985753,0.0160546,36868.5,-0.000886806,1.57437,13.245,11.264,122.641,82.3434,1.44297,12.8764,11.7806,121.48,130.454,1.16175,-48.1111 
3,0.04,0.83,43.3247,3,38419.3,-0.11685,65.4759,13.0609,122.304,0.137709,386.515,0.00533205,-2.60756,-1.51743,-6.30661,-3.1329,-0.664894,-141.307,19967.9,186.818,18602.1,29571.5,-1.71779,-0.62766,-4.52706,-2.24313,0.224879,0.490813,20080.5,197.05,18714.7,0.510219,0.983117,0.0190268,39356.6,-0.00104975,1.67274,13.3599,11.2307,122.704,82.3171,1.50853,13.0211,11.9344,121.58,130.319,1.12384,-48.0024 
4,0.04,0.83,43.2047,4,31344.6,-0.0426561,55.1115,12.743,122.286,-0.0138717,6.39184,500,-2.29329,0.971051,-5.62642,-1.66321,-3.97352,-138.841,15611,144.881,16106,22864.6,-1.41904,1.8453,-3.87793,-0.788962,-3.09927,0.471665,15721.6,154.935,16216.6,0.484865,0.983046,0.0172953,32424.7,-0.00109261,1.35023,12.986,11.1824,122.65,82.2095,1.32106,12.9156,11.9108,121.639,130.18,1.01113,-47.9709 
5,0.04,0.83,43.0547,5,37218.6,-0.266735,65.0545,12.8921,121.99,0.202952,168.031,5.62545,1.2475,-3.18432,-12.1192,-0.542677,-4.83148,-299.368,19373.3,169.271,18295.8,28412.3,3.13254,-1.29929,-8.34916,1.34236,-2.94644,-0.0282236,19611.8,190.949,18534.3,0.506737,0.983247,0.0186248,38702.1,-0.00122342,1.6595,13.1457,11.1353,122.293,82.3477,1.51436,12.8798,11.8015,121.264,130.357,1.02886,-48.0089 
6,0.04,0.83,43.2347,6,34263,-0.201649,58.5707,13.0972,122.037,0.156836,-416.845,285.019,-3.86926,-4.14407,-3.80384,-2.24632,-3.59981,-119.187,17861.5,149.648,16499.9,27100.2,-3.11877,-3.39358,-2.30285,-1.49583,-2.84932,0.825016,17956.5,158.279,16594.8,0.512323,0.984809,0.0172664,35049.1,-0.000916203,1.46165,13.401,11.4698,122.324,81.7565,1.32783,13.0236,12.025,121.422,129.788,0.901818,-48.0314 
7,0.04,0.83,43.2547,7,35658.2,-0.127424,60.5914,13.0254,122.146,0.0454795,-65.0743,0.0338268,-1.96115,-1.7048,1.18796,1.95761,1.5177,11.753,18377.6,167.626,17027.2,25788.4,-2.03516,-1.77881,1.03994,1.8836,1.4437,-0.87961,18368.3,166.775,17017.8,0.511699,0.984359,0.0177325,35896.7,-0.000488975,1.56059,13.2431,11.1315,122.465,82.5698,1.38749,12.9178,11.9244,121.407,130.636,1.05801,-48.0663 
8,0.04,0.83,43.1447,8,33823.2,-0.446209,59.7903,12.6638,122.207,-0.0702659,210.288,500,-2.61738,-3.88048,-8.07305,-6.10563,-2.87757,-93.4022,17320.4,130.524,16429.3,25129.4,-2.02925,-3.29235,-6.89679,-5.5175,-2.28944,0.655597,17394.8,137.287,16503.7,0.505756,0.986376,0.0150924,34393.6,-0.000454542,1.57041,12.7455,10.7675,122.597,82.894,1.44592,12.4956,11.3626,121.505,131.016,1.09242,-48.1222 
9,0.04,0.83,43.2747,9,35983.1,-0.0970647,62.4428,12.6934,122.336,0.00238384,3.5381,143.175,-3.71214,1.40574,-1.7961,-1.44394,-4.06543,29.862,18378.7,162.468,17390.7,25802.5,-3.90017,1.2177,-2.17217,-1.63197,-4.25346,0.797751,18354.9,160.306,17366.9,0.506442,0.984946,0.0167193,36242.9,-0.000435149,1.65384,12.8041,10.8012,122.689,82.3494,1.47518,12.7316,11.6227,121.644,130.302,1.04495,-47.9529 
