cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.02,0.85,43.1353,0,6961.29,-0.278721,20.067,9.11034,121.778,0.610168,-861.106,103.628,-1.29539,-1.67895,-5.0779,-1.03308,-3.28285,-226.19,5210.08,14.9648,3277.95,23055.4,0.128867,-0.25469,-2.22939,0.391173,-1.85859,0.416792,5390.25,31.3438,3458.12,0.60212,0.989926,0.0164223,8952.11,-0.00138953,0.762855,9.32188,8.89341,121.851,81.3838,0.466669,9.26533,9.56545,121.262,128.744,0.589566,-47.3606 
1,0.02,0.85,43.1753,1,5461.13,-0.302719,17.0224,8.98542,121.843,0.32826,-87.0993,271.154,1.40498,1.01494,-4.03723,-2.79087,-3.27144,-215.818,4286.91,1.67074,2857.19,5909.86,2.76393,2.37388,-1.31934,-1.43192,-1.91249,3.78303,4458.82,17.2986,3029.1,0.588329,0.993256,0.0104104,7578.79,-0.00158063,0.655903,9.4122,8.54854,121.951,81.3337,0.423803,9.15338,9.30521,121.166,128.884,0.785126,-47.5498 
2,0.02,0.85,42.9853,2,8647.45,-0.292189,24.6263,8.97296,121.95,0.409917,63.4221,189.802,-1.22658,-2.18952,-0.943185,-2.62274,-2.33484,-132.828,6233.98,28.3292,4064.22,8039.63,-0.390195,-1.35314,0.729577,-1.78636,-1.49846,1.16973,6339.78,37.9475,4170.02,0.59613,0.989634,0.0164869,10634.9,-0.00144674,0.960087,9.14202,8.60723,122.136,81.5041,0.59211,9.19639,9.27669,121.298,129.145,0.837351,-47.6409 
3,0.02,0.85,43.1953,3,5862.45,0.0311472,17.296,8.9773,121.514,0.113519,-281.003,1.47772e-10,0.62352,-3.97839,-6.45033,-0.222257,-0.42955,-190.668,4506.3,8.05427,3030.09,6093.01,1.82411,-2.7778,-4.04916,0.978328,0.771036,-0.244558,4658.17,21.861,3181.96,0.586998,0.991854,0.0124976,7935.59,-0.0015449,0.674075,9.46236,8.68219,121.628,81.311,0.442973,9.21437,9.2891,120.984,128.956,0.643867,-47.6449 
4,0.02,0.85,43.1853,4,5649.7,-0.248183,17.4568,9.11661,121.834,0.362568,-12.6373,500,-3.60715,-1.05366,-1.48056,-3.10261,-2.01552,-109.716,4420.03,13.2801,3012.01,5329.9,-2.9163,-0.362812,-0.0988536,-2.41176,-1.32467,0.986105,4507.42,21.2249,3099.4,0.585394,0.991827,0.0124577,7699.81,-0.00168143,0.650814,9.65647,8.74309,121.933,81.3125,0.433112,9.20072,9.44437,121.279,128.981,0.654305,-47.6688 
5,0.02,0.85,43.2453,5,7953.54,-0.116658,22.6403,9.14763,121.931,-0.253484,53.3303,499.472,-1.47295,-3.55665,-2.30984,-1.19845,-2.21387,-152.761,5962.13,18.7685,3739.82,7182.01,-0.511059,-2.59475,-0.386046,-0.236556,-1.25197,0.922487,6083.81,29.8303,3861.5,0.604683,0.991492,0.0140307,10061.2,-0.00155735,0.887337,9.53129,8.61776,122.042,81.0114,0.555712,9.0919,9.1457,121.403,128.489,0.639361,-47.4778 
6,0.02,0.85,43.1253,6,7685.13,-0.216402,22.6269,8.92461,121.606,0.258136,-50.5065,472.758,-0.357986,1.4867,0.462469,-0.809588,0.0133003,-150.892,5633.76,7.7576,3742.51,6998.12,0.592139,2.43683,2.36272,0.140537,0.963425,0.636261,5753.95,18.684,3862.7,0.591208,0.99435,0.00883164,9732.53,-0.00151664,0.853751,9.36467,8.57838,121.67,81.135,0.553734,9.11211,9.24617,121.228,128.714,0.441839,-47.5795 
7,0.02,0.85,43.2153,7,6254.26,-0.305225,19.2712,8.84609,121.879,0.106052,28.6664,1.38979,-3.11352,-0.486826,-5.03409,-1.68044,1.58266,-77.4786,4884.42,9.14335,3100.12,5648.48,-2.62566,0.00103612,-4.05836,-1.19258,2.07053,0.300889,4946.14,14.7538,3161.83,0.60298,0.994807,0.00852238,8202.82,-0.00161694,0.76836,9.30123,8.41988,122.018,81.6052,0.473548,9.00227,9.12995,121.319,129.235,0.698763,-47.6295 
8,0.02,0.85,43.3553,8,8966.75,-0.0822713,24.9902,9.05009,121.7,0.403991,568.306,0.00282036,-3.54249,-1.27613,-3.89812,-1.61719,2.17464,-105.039,6470.4,12.2236,4250.75,14836.3,-2.88109,-0.61473,-2.57532,-0.95579,2.83604,0.385496,6554.07,19.8297,4334.42,0.594823,0.994733,0.00835709,11018.5,-0.00152803,0.969899,9.35028,8.63141,121.858,82.1356,0.615129,9.25732,9.27677,121.188,129.887,0.67028,-47.7512 
9,0.02,0.85,43.3053,9,8960.82,-0.26117,24.9812,9.06195,121.914,0.0605778,181.089,500,0.623986,-2.25103,0.946252,1.15667,3.89492,-169.393,6331.54,20.4096,4258.85,7726.49,1.69061,-1.1844,3.0795,2.22329,4.96154,0.714081,6466.46,32.6758,4393.78,0.588285,0.991235,0.0135143,10992.1,-0.00147005,0.95457,9.44859,8.59405,122.088,81.2515,0.627296,9.02612,9.30978,121.329,128.658,0.75861,-47.4067 
10,0.02,0.85,43.1153,10,8243.07,-0.307723,23.1324,9.24884,121.586,0.508287,-515.273,50.1637,2.52815,-0.291289,-3.46901,-2.63899,-4.56227,-144.474,6015.57,18.3902,3886.07,15490.7,3.43786,0.618426,-1.64958,-1.72928,-3.65255,0.445542,6130.65,28.8519,4001.14,0.598006,0.991831,0.0131091,10251.8,-0.00144463,0.891824,9.4547,8.65825,121.676,80.9736,0.573489,9.17833,9.13247,121.168,128.361,0.508029,-47.3869 
