cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.03,0.84,43.2197,0,24636.3,-0.0397349,46.7834,12.092,122.555,-0.0479281,99.3261,5.25474e-08,-1.73985,-2.02377,-2.40196,-3.60919,-1.06211,-76.1957,13260.5,109.914,12700.3,18570.5,-1.26007,-1.54398,-1.44239,-3.12941,-0.582323,0.818754,13321.2,115.431,12761,0.50335,0.985062,0.0163899,26465,-0.00171135,1.23054,12.4542,10.8125,123.085,80.8653,1.13375,12.2896,11.4814,121.858,128.644,1.227,-47.7788 
1,0.03,0.84,43.2297,1,26154.2,-0.368147,49.4392,12.3355,122.59,0.148139,366.179,482.956,-3.69491,-0.897083,-4.73555,-2.95377,-0.634606,-171.194,14441.2,97.1139,13052.8,21618.7,-2.61695,0.18088,-2.57962,-1.87581,0.443357,0.599943,14577.6,109.51,13189.1,0.517626,0.987024,0.0150647,28162.4,-0.00177115,1.35444,12.4519,10.6969,122.9,80.1662,1.16135,12.4216,11.4173,122.03,127.758,0.869914,-47.5914 
2,0.03,0.84,43.2597,2,29059.3,0.0344008,54.8066,12.1967,122.784,-0.139296,29.7243,500,-1.19331,-1.60736,-2.95958,-2.44223,-3.83131,-139.271,16208.8,125.056,14383.1,21895.3,-0.316357,-0.730404,-1.20568,-1.56528,-2.95436,0.821964,16319.7,135.141,14494,0.522255,0.985716,0.0168856,31248.6,-0.00202652,1.52315,12.4831,10.6592,123.094,80.575,1.27189,12.3948,11.5186,122.196,128.035,0.898186,-47.4603 
3,0.03,0.84,43.1597,3,22809,-0.173453,44.8802,11.9696,122.527,-0.191929,206.628,490.339,-0.829663,-3.35886,-2.62299,-3.50492,-0.491756,-151.145,12858.2,87.8264,11666.1,18778.6,0.122059,-2.40714,-0.71955,-2.5532,0.459966,0.858853,12978.6,98.7712,11786.5,0.516691,0.986857,0.0152022,25118.7,-0.00205481,1.21406,12.3739,10.7057,122.933,80.763,1.06054,12.1346,11.4403,121.944,128.394,0.989178,-47.6313 
4,0.03,0.84,43.1397,4,27515.6,-0.135277,51.2391,12.3383,122.708,0.183894,-104.205,500,1.87425,0.353435,-6.66128,-0.66335,-0.0629842,-109.145,15200.6,109.039,13528.7,21204.1,2.56151,1.04069,-5.28676,0.023908,0.624274,-4.1012,15287.5,116.942,13615.7,0.521551,0.98679,0.0155751,29311.6,-0.001698,1.3985,12.6275,10.7629,123.097,80.5039,1.22052,12.3742,11.3032,122.026,128.18,1.07129,-47.6756 
5,0.03,0.84,43.2097,5,22467.7,-0.380041,43.4704,-12.2182,122.984,0.318111,-222.297,3.66122,-1.99582,-1.61635,2.60359,-1.25348,2.84403,-266.254,12239.3,115.459,11809.8,19592.1,-0.319295,0.0601759,5.95665,0.423052,4.52056,0.440225,12451.3,134.739,12021.9,0.501385,0.981415,0.0202284,24833.9,-0.00192109,1.16995,12.2336,10.6406,123.498,80.4571,1.05311,12.4473,11.4216,122.334,127.944,1.16407,-47.4868 
6,0.03,0.84,43.2397,6,26032.2,-0.406943,49.79,12.2837,122.983,0.615149,-543.793,247.4,-4.55523,-0.261997,-10.5814,-3.10247,-4.3376,-196.263,14398.8,128.863,13233.2,30799.4,-3.31941,0.973819,-8.10974,-1.86665,-3.10178,0.474205,14555.1,143.075,13389.5,0.513474,0.983089,0.019304,28346.3,-0.00200921,1.34719,12.5245,10.6895,123.354,80.8524,1.18948,12.3527,11.3357,122.458,128.53,0.89601,-47.6781 
7,0.03,0.84,43.1997,7,22139.5,-0.0468086,42.5065,-12.1181,122.802,0.0615784,-18.9232,500,-2.31762,-1.95401,-1.28575,-0.0525091,-3.51942,-226.603,12333.5,98.6188,11412.1,16806.1,-0.890754,-0.527151,1.56797,1.37435,-2.09256,3.75983,12514,115.028,11592.6,0.511727,0.984169,0.0179501,24454.4,-0.00191582,1.13877,12.4161,10.9072,123.255,80.3918,1.0209,12.4001,11.3515,122.084,128.158,1.17133,-47.7658 
8,0.03,0.84,43.3097,8,27532.9,-0.351363,52.9147,12.1172,122.888,0.260739,344.638,1.89216e-05,-2.92926,-3.15626,-6.64511,-2.00627,-3.36877,-190.101,15238.4,138.549,13692.6,23797.6,-1.73225,-1.95924,-4.25108,-0.809254,-2.17175,0.610834,15389.8,152.314,13844,0.519064,0.982975,0.0198646,29649.2,-0.00183163,1.46285,12.1984,10.6478,123.284,80.1596,1.25226,12.2656,11.2531,122.252,127.638,1.03257,-47.478 
9,0.03,0.84,43.0897,9,27515.2,-0.040565,52.3735,12.0929,122.705,0.00644741,-107.487,500,-3.25045,-5.3347,-4.12109,-3.24087,-1.55153,-97.4875,15323,129.054,13576.8,20640.1,-2.6366,-4.72085,-2.89338,-2.62702,-0.937681,0.79057,15400.6,136.113,13654.5,0.522679,0.984769,0.0180317,29464.7,-0.00184584,1.46318,12.4242,10.5194,123.105,80.3002,1.25036,12.2216,11.2292,122.1,127.751,1.00476,-47.4506 
10,0.03,0.84,42.9897,10,28120.7,-0.0147406,53.2171,12.1246,122.977,-0.0323376,-20.1376,500,-4.55636,-5.57306,-6.06951,-3.83568,-0.613318,-120.723,15688.6,135.55,13793.6,21025.9,-3.7962,-4.8129,-4.54919,-3.07552,0.146842,0.717213,15784.8,144.291,13889.8,0.524564,0.984255,0.018777,30091.3,-0.00176133,1.48187,12.4095,10.6392,123.374,80.5246,1.25942,12.2452,11.2456,122.205,128.105,1.16919,-47.5804 
