cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
68,0.11,0.65,43.3236,68,20928.4,-0.0481084,43.1853,11.1329,118.109,0.00090871,7.1699,1.12858e-06,-0.617956,1.84172,-1.52481,-1.32067,-1.34515,-92.118,10256.2,709.176,9128.55,15651.2,-0.0379132,2.42176,-0.364729,-0.740626,-0.765103,1.71043,10289.9,730.529,9162.27,0.494076,0.889489,0.128066,20826.5,-0.00100431,1.12174,11.4318,10.9683,118.484,87.074,0.944269,11.1158,12.3634,117.418,137.745,1.06576,-50.671 
69,0.11,0.65,43.2336,69,16854.8,-0.0282492,35.4546,11.2116,117.869,0.00239256,14.1425,0.000285316,0.0633875,0.669114,-1.33931,0.144783,-1.3136,-94.0061,7583.78,637.395,8279.74,12941.1,0.655319,1.26105,-0.155444,0.736714,-0.721672,1.08753,7618.19,659.185,8314.15,0.443448,0.86849,0.127438,17179.5,-0.00127114,0.800403,11.6742,11.3689,118.249,87.7955,0.838622,11.208,12.5513,117.207,138.505,1.04211,-50.7093 
70,0.11,0.65,43.2736,70,25901.6,-0.0813863,53.1494,11.0925,117.87,0.0705584,-378.916,0.0289946,-1.50808,-1.47164,2.84733,-1.4522,-1.91889,-87.1649,12164.7,895.293,11478.8,20062.5,-0.959228,-0.922789,3.94504,-0.903346,-1.37003,19.7542,12196.6,915.497,11510.7,0.479541,0.883894,0.127789,25433.9,-0.00102062,1.33398,11.4116,10.9791,118.271,87.7664,1.19599,10.9904,12.512,117.211,138.478,1.05963,-50.7111 
71,0.11,0.65,43.2436,71,20706.6,-0.252374,42.1602,11.3472,118.26,0.0562842,67.4183,266.362,2.13221,-2.72021,0.804178,-2.57514,-1.04171,-43.5436,9396.93,771.531,9174.26,15697,2.40639,-2.44603,1.35254,-2.30096,-0.767523,1.77043,9412.87,781.625,9190.2,0.471077,0.873121,0.13545,19981.6,-0.000795159,1.0001,11.4626,11.3908,118.589,86.8051,0.920795,11.355,12.8371,117.539,137.382,1.0502,-50.5773 
72,0.11,0.65,43.3736,72,20517,-0.26985,42.6047,11.1786,117.69,0.0993993,121.457,446.122,-1.16286,-0.817509,-0.664035,-3.56274,-0.227273,-46.6251,10374.5,736.322,8493.34,15896.9,-0.869275,-0.523923,-0.0768636,-3.26916,0.0663131,0.983551,10391.5,747.13,8510.41,0.514981,0.88824,0.139206,20178.5,-0.000827644,1.15002,11.3109,10.9178,117.877,87.1858,0.880164,11.0801,12.3983,117.045,137.67,0.831744,-50.4845 
73,0.11,0.65,43.2236,73,14580.2,-0.0925093,30.753,-11.2183,118.259,-0.0341901,63.8194,500,-1.09453,1.96553,0.0464409,-1.00916,-2.85696,-122.207,6641.32,521.752,6909.01,11301.8,-0.325028,2.73504,1.58545,-0.239653,-2.08746,0.0496907,6686.05,550.079,6953.74,0.455365,0.874143,0.127187,14682.8,-0.00107279,0.710318,11.5216,11.2793,118.598,87.73,0.70121,11.3068,12.7724,117.68,138.814,0.918173,-51.0841 
74,0.11,0.65,43.2536,74,23041.8,-0.00765078,47.3908,-11.1934,118.075,0.157618,-124.683,500,-0.00213736,4.25828,-0.548282,-0.267401,0.686204,-21.7333,10936.4,838.482,10251.7,17908.1,0.134711,4.39513,-0.274585,-0.130552,0.823052,1.0555,10944.3,843.52,10259.7,0.481218,0.881151,0.131531,22743,-0.00111189,1.16952,11.5749,11.1786,118.554,88.0434,1.0628,11.1059,12.4109,117.324,138.663,1.22975,-50.6194 
75,0.11,0.65,43.0736,75,23071,-0.0306985,46.9131,11.2135,118.052,0.0027407,-26.8888,499.757,1.36713,-0.694806,-1.17486,-0.524759,0.379408,-46.5316,11120.2,854.848,9977.68,17127.3,1.66013,-0.401809,-0.588861,-0.231762,0.672405,1.53046,11137.2,865.634,9994.71,0.49212,0.880268,0.137592,22631.2,-0.000933241,1.18961,11.5375,11.197,118.376,87.0174,1.02225,11.1576,12.4509,117.373,137.352,1.00315,-50.3346 
76,0.11,0.65,43.1236,76,26108.7,-0.341405,53.0163,11.4273,118.221,0.559715,-252.876,94.6993,1.2498,-4.29535,-3.307,-1.37161,3.30672,-87.5653,11454.7,1021.48,11822.9,24329.5,1.80117,-3.74397,-2.20425,-0.820235,3.85809,-0.987253,11486.8,1041.78,11854.9,0.457278,0.863026,0.139325,25119.9,-0.000949068,1.19352,11.5394,11.644,118.596,88.1274,1.18453,11.2266,12.992,117.588,139.022,1.00761,-50.8942 
77,0.11,0.65,43.2636,77,24093.2,-0.194431,49.6877,11.1524,118.439,0.0715119,13.6782,500,0.725458,0.985432,0.162303,-3.90297,-1.17599,-41.9419,11077.3,833.307,10848.1,18070.9,0.989556,1.24953,0.690498,-3.63887,-0.911894,1.42592,11092.7,843.029,10863.4,0.470315,0.882614,0.125072,23585.6,-0.000866382,1.22948,11.299,10.9245,118.721,87.9348,1.13245,11.1636,12.3024,117.849,138.754,0.871745,-50.8192 
